Year,Countries,Cases,Deaths,Serotypes,Number of Serotypes,Sero1,Sero2,Sero3,Sero4,Dominent_Sero,Pop,PerMillion,PopPerHTh,CasesPerM,DeathsPerM,CasesPerTh,CFR (%),Death(CFR (%)),Population Growth,Median age,Fertility rate,Age: 65+,Age: 25-64,Age: 15-24,Age: 5-14,Age: 0-4,Total dependency ratio,Child dependency ratio,Old-age dependency ratio,Sex ratio at birth,life expectancy,Child mortality,Human Development Index,GDP per capita,Urban population,Rural population,"Current health expenditure per capita, PPP (current international $)",Out-of-pocket expenditure (% of current health expenditure),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years",Concentrations of fine particulate matter (PM2.5) - Residence area type: Total,DTP3 (% of one-year-olds immunized),Temperature anomaly,Annual COâ‚‚ emissions (per capita),Access to electricity (% of population),Gini coefficient (before tax) (World Inequality Database),Official development assistance (ODA) by recipient (Official donors),Taxes including social contributions (as a share of GDP),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Total number of emigrants,The totalpopulation not using improved sanitation facilities,Scientific and technical journal articles per million people,Number of Internet users,Annual Avg Temp,Annual Total Rainfall
2015,Maldives,1890,6,,0,No,No,No,No,,"407,660",0.40766,4.0766,4636.216455,14.71814748,463.6216455,0.32,6 (0),428165,26.611,2.004,17198,227744,83845,62253,37123,37.412746,31.893295,5.51945,110.02608,79.6953,2.004,0.728,18273.73,167825,267757,1528.0947,19.452291,1.35468,7.3,12.22996,99,-0.13983095,2.9865496,99.77473,0.5784953,25220000,19.641901,57.17923,3606,22303.371,16.253817,237231,28.06,1550.39
2016,Maldives,1931,3,"1,2",0,Yes,Yes,No,No,DENV2,"407,660",0.40766,4.0766,4736.790463,7.359073738,473.6790463,0.16,3 (0),443316,27.038,1.903,17436,240575,84021,64467,36815,36.57408,31.20248,5.3716,106.68809,79.872,1.903,0.734,18674.303,176949,277303,1878.2562,18.934925,1.35468,7.9,13.66199,99,0.23416705,3.2398741,100,0.5052465,23280000,20.15365,57.42042,3606,18989.502,14.969302,268436,28.15,1956.45
2017,Maldives,0,0,,0,No,No,No,No,,"407,660",0.40766,4.0766,0,0,0,0,0,458297,27.498,1.798,17730,253942,83676,66747,36199,35.743355,30.491858,5.2514973,107.685356,79.9429,1.798,0.74,19221.967,186048,286394,1758.7059,20.585186,1.35468,7.9,12.51763,99,0.38905394,3.301859,99.8,0.5052465,49270000,19.369745,56.90306,3606,15368.278,14.943412,289375,27.98,1640.04
2018,Maldives,3494,0,2,1,No,Yes,No,No,DENV2,"407,660",0.40766,4.0766,8570.86788,0,857.086788,0,0,473107,27.989,1.71,18132,268009,82545,69005,35412,34.958664,29.786282,5.1723843,108.641594,80.0132,1.71,0.747,20149.604,194963,294795,1506.9335,19.779842,1.35468,7.9,12.46575,99,-0.07333823,3.6786604,100,0.5052465,136300000,19.162058,55.393764,3606,11450.791,14.802776,304002,27.87,1998.63
2019,Maldives,4984,0,"1,2.3",3,Yes,Yes,Yes,No,DENV3,"407,660",0.40766,4.0766,12225.8745,0,1222.58745,0,0 (0),487737,28.513,1.64,18696,282856,80487,71150,34543,34.234592,29.089043,5.145551,109.49936,80.116,1.64,0.753,20988.092,203004,301504,1639.5215,17.463621,1.42565,7.9,13.00334,98,0.2925421,4.0866613,100,0.5052465,72530000,18.120863,53.36612,3606,7243.6807,19.265913,315324,28.13,1861.52
2020,Maldives,6896,0,3,1,No,No,Yes,No,,"407,660",0.40766,4.0766,16916.0575,0,1691.60575,0,0 (0),502127,29.069,1.613,19432,298409,77615,73052,33614,33.53456,28.366806,5.167755,110.09631,79.8747,1.613,0.737,13809.354,209217,305221,1602.8785,16.907932,1.42565,7.9,13.00334,99,0.288262,3.3420072,100,0.5052465,305989980,18.924599,53.261063,3715,2810.2322,45.524258,323744,28.3,1513.48
2021,Maldives,1611,0,2,1,No,Yes,No,No,DENV2,"407,660",0.40766,4.0766,0,0,0,0,,516162,29.655,1.599,20280,314395,74289,74550,32644,32.796307,27.578701,5.217606,109.67742,79.9182,1.599,0.753,13809.354,214329,307128,1602.8785,16.907932,1.42565,7.9,13.00334,96,0.17640238,3.8190181,100,0.5052465,106080000,18.924599,53.393814,3715,2810.2322,45.524258,323744,28.14,1169.59
2022,Maldives,1548,0,3,1,No,No,Yes,No,,"515,122",0.515122,5.15122,3005.113352,0,300.5113352,0,0,524116,30.339,1.583,21398,325841,70051,75182,31641,32.387875,26.982864,5.4050093,106.94444,79.9182,1.583,0.762,13809.354,217560,306227,1602.8785,16.907932,1.42565,7.9,13.00334,96,0.81050175,3.851092,100,0.6656396,119120000,18.924599,53.483456,3715,2810.2322,45.524258,323744,27.97,1715.52
2023,Maldives,3223,0,,0,No,No,No,No,,"515,122",0.515122,5.15122,6256.770241,0,625.6770241,0,0,526009,31.124,1.575,22858,331704,65985,74818,30641,32.265663,26.517958,5.7477074,104.95606,79.9182,1.575,0.762,13809.354,217560,306227,1602.8785,16.907932,1.42565,7.9,13.00334,96,0.90681267,3.9206648,100,0.6656396,119120000,18.924599,53.483456,3715,2810.2322,45.524258,323744,27.97,1715.52
2000,Nepal,0,0,,0,No,No,No,No,,"18,491,097",18.491097,185,0,0,0,0,0,24546510,18.251,3.984,936628,8823149,4735120,6441246,3610365,81.044556,74.13639,6.908168,104.11886,62.6145,3.984,0.461,1676.7456,3290236,21269264,47.18504,55.78205,0.19932,1.4,39.77933,74,-0.38583222,0.123741865,29.867804,0.6656396,420860000,7.1350937,35.452877,977396,18544608,4.086402,50261,25.15,938.67
2001,Nepal,0,0,,0,No,No,No,No,,"23,151,423",23.151423,232,0,0,0,0,0,24946755,18.325,3.793,961592,8982521,4845510,6589238,3567891,80.40712,73.453186,6.953933,104.16645,63.3362,3.793,0.462,1738.3142,3480623,21475448,60.515984,51.26502,0.19932,1.5,39.77933,72,-0.02377057,0.12971939,24.6,0.5876886,511050000,7.71817,35.442307,977396,17988398,4.5824523,59898,25.9,701.37
2002,Nepal,0,0,,0,No,No,No,No,,"23,151,423",23.151423,232,0,0,0,0,0,25328989,18.453,3.604,989148,9157334,4946621,6709761,3526122,79.58782,72.574554,7.013267,104.24829,63.2638,3.604,0.469,1709.7787,3607302,21724876,62.642506,51.956196,0.19932,1.6,39.77933,72,-0.24046536,0.102506384,36.35048,0.5876886,462630000,7.5059876,35.50138,977396,17432022,4.81522,79279,26.22,817.38
2003,Nepal,0,0,,0,No,No,No,No,,"23,151,423",23.151423,232,0,0,0,0,0,25688764,18.628,3.439,1019108,9346540,5035738,6804066,3483309,78.61399,71.52814,7.0858593,104.355354,64.1966,3.439,0.476,1747.7766,3733781,21949127,64.04606,53.80938,0.19932,1.7,39.77933,78,-0.2664444,0.109401256,39.586006,0.5876886,584950000,7.585974,35.64742,977396,16837424,9.064003,98317,24.87,1244.53
2004,Nepal,1,0,,0,No,No,No,No,,"23,151,423",23.151423,232,0.043193889,0,0.004319389,0,0,26016653,18.819,3.279,1049587,9534063,5120788,6878385,3433825,77.52926,70.36721,7.162045,104.43514,64.8177,3.279,0.484,1802.1438,3859248,22144717,71.354614,51.602844,0.19932,1.8,39.77933,80,-0.019838631,0.09925988,37.2,0.5876886,506980000,7.8693094,35.889217,977396,16204626,8.675598,116977,25.02,922.85
2005,Nepal,0,0,,0,No,No,No,No,,"23,151,423",23.151423,232,0,0,0,0,0,26309462,19.023,3.115,1084076,9713752,5204569,6932668,3374387,76.35666,69.08991,7.2667427,104.49029,65.4566,3.115,0.492,1836.3057,3981931,22303179,73.54788,49.217957,0.31087,1.9,39.77933,75,0.005265832,0.11352463,46.080463,0.5876886,470820000,8.048627,36.267452,1289629,15530674,11.308302,217260,25.15,996.68
2006,Nepal,32,0,,0,No,No,No,No,,"23,151,423",23.151423,232,1.382204455,0,0.138220445,0,0,26565431,19.242,2.967,1123878,9884668,5287206,6961995,3307670,75.09648,67.688835,7.4076414,104.512314,65.8685,2.967,0.503,1884.1871,4100363,22418608,69.63668,42.501873,0.31087,2.1,39.77933,89,0.4632803,0.09246863,51.2,0.58036435,520180000,7.698164,37.106255,1289629,14815519,13.687935,302685,25.83,754.1
2007,Nepal,27,0,,0,No,No,No,No,,"23,151,423",23.151423,232,1.166235009,0,0.116623501,0,0,26788499,19.469,2.857,1166013,10050069,5368542,6961480,3242377,73.74121,66.17883,7.5623736,104.54753,66.3288,2.857,0.508,1927.3865,4215682,22497973,76.07886,60.961533,0.31087,2.2,39.77933,82,0.15154304,0.09594942,52.646744,0.58036435,527989980,8.5685835,37.851803,1289629,14068068,14.596656,376662,25.04,1107.42
2008,Nepal,10,0,,0,No,No,No,No,,"23,151,423",23.151423,232,0.431938892,0,0.043193889,0,0,26990038,19.707,2.737,1209118,10214138,5458578,6928210,3179971,72.2102,64.4954,7.7147956,104.588936,66.4207,2.737,0.518,2021.154,4329273,22552271,84.99872,61.62509,0.31087,2.4,39.77933,82,0.048295636,0.12418611,55.95753,0.58036435,559970000,9.153945,38.53731,1289629,13298511,13.145079,465051,24.58,1371.09
2009,Nepal,30,0,,0,No,No,No,No,,"23,151,423",23.151423,232,1.295816676,0,0.129581668,0,0,27173035,19.958,2.63,1251916,10378088,5557945,6865039,3120019,70.51299,62.657112,7.855882,104.61455,66.7609,2.63,0.53,2085.2437,4441607,22585334,91.01219,57.623226,0.31087,2.5,39.77933,89,0.5488584,0.15196507,59.281704,0.5294187,617789950,10.3849535,39.267406,1289629,12511568,14.204339,532431,25.58,980.86
2010,Nepal,917,5,1,1,Yes,No,No,No,DENV1,"23,151,423",23.151423,232,39.6087964,0.215969446,3.96087964,0.55,5 (0.55),27341955,20.223,2.541,1293382,10541158,5664065,6775507,3067810,68.7229,60.741634,7.9812665,104.64748,66.8138,2.541,0.543,2152.2747,4554452,22607115,107.338455,56.20389,0.95337,2.6,39.77933,82,0.6603814,0.17644328,68.6,0.5294187,781060000,11.745825,40.15439,1712697,11714602,14.036743,2153913,25.59,1371.09
2011,Nepal,79,0,,0,No,No,No,No,,"26,494,504",26.494504,265,2.981750479,0,0.298175048,0,0,27464499,20.44,2.462,1335024,10657373,5777567,6670121,3024376,67.1102,58.987114,8.123084,104.760056,67.313,2.462,0.552,2189,4664736,22601663,100.812485,58.37967,0.95337,2.8,39.48479,92,-0.1859356,0.19007917,67.26,0.5294187,719540000,11.626247,41.109035,1712697,10901096,14.403809,2453976,24.28,1281.45
2012,Nepal,183,0,,0,No,No,No,No,,"26,494,504",26.494504,265,6.907092882,0,0.690709288,0,0,27534917,20.605,2.42,1379834,10715650,5883175,6566687,2989531,65.8845,57.571655,8.312841,104.887375,67.47,2.42,0.557,2258,4771393,22559301,111.10582,56.07543,0.95337,3,40.43541,90,-0.34263507,0.19866604,75.21463,0.5294187,760020030,12.040806,42.42588,1712697,10069761,14.579211,3047181,24.94,791.02
2013,Nepal,686,0,,0,No,No,No,No,,"26,494,504",26.494504,265,25.89216239,0,2.589216239,0,0,27589997,20.779,2.36,1429051,10760353,5972169,6464330,2964051,64.8882,56.347637,8.54056,104.96083,67.9651,2.36,0.563,2316,4878024,22503531,122.992874,63.53344,0.95337,3.2,41.79461,92,0.01355652,0.22536574,77.44139,0.5294187,861410000,13.297885,44.04134,1712697,9233989,16.703579,3641747,24.12,1487.11
2014,Nepal,356,0,,0,No,No,No,No,,"26,494,504",26.494504,265,13.436749,0,1.3436749,0,0,27672373,20.983,2.319,1478535,10824787,6061676,6358393,2948935,63.872837,55.117096,8.755741,104.989525,68.0855,2.319,0.567,2421,4993160,22468946,146.56155,60.047535,0.95337,3.3,40.29809,92,-0.16412163,0.27432898,84.9,0.5294187,859940030,13.994912,45.767067,1712697,8408206,18.218557,4240150,25.37,632.81
2015,Nepal,135,1,,0,No,No,No,No,,"26,494,504",26.494504,265,5.095396389,0.037743677,0.509539639,0.74,1 (0.74),27823631,21.238,2.273,1525411,10940516,6163047,6250847,2943761,62.67711,53.758434,8.9186735,105.01175,67.4562,2.273,0.568,2455,5123648,22486677,160.24689,59.43524,1.21792,3.5,39.81822,91,0.001801173,0.24815801,82.01423,0.5294187,1354370000,14.686308,47.438934,2270166,7600454,19.277931,4854342,25.15,1091.6
2016,Nepal,1527,1,,0,No,No,No,No,,"26,494,504",26.494504,265,57.63459471,0.037743677,5.763459471,0.07,1 (0.07),27955471,21.515,2.226,1572679,11060103,6236584,6144990,2941062,61.622963,52.53059,9.092371,105.037865,68.7758,2.226,0.574,2443.4324,5277466,22583720,158.6747,55.440067,1.21792,3.8,38.42945,87,0.88113433,0.3608613,90.7,0.5294187,1176100000,16.143753,49.286236,2270166,6813141,21.810629,5767266,25.75,1044.14
2017,Nepal,2111,3,2,1,No,Yes,No,No,DENV2,"26,494,504",26.494504,265,79.67690205,0.113231031,7.967690205,0.14,3 (0.14),28011259,21.794,2.173,1621088,11153426,6256381,6048969,2931338,60.893238,51.581886,9.31135,104.98983,68.9099,2.173,0.581,2632.3408,5449547,22733879,165.0498,57.37548,1.21792,3.8,36.76309,90,0.5590551,0.44338515,86.62466,0.5294187,1377390000,17.993425,50.791927,2270166,6030486,24.037888,6848572,25.76,875.39
2018,Nepal,811,3,,0,No,No,No,No,,"26,494,504",26.494504,265,30.61012201,0.113231031,3.061012201,0.37,3 (0.37),28079686,22.104,2.12,1669765,11280170,6250036,5965908,2913747,60.178528,50.653454,9.525073,104.91134,68.9786,2.12,0.588,2800.8596,5627225,22879487,172.47102,57.725033,1.21792,3.8,40.05945,91,0.20446385,0.49854708,93.92,0.5294187,1512060000,21.96213,51.90751,2270166,5233341.5,29.041224,8152921,25.26,1223.44
2019,Nepal,17992,6,,0,No,No,No,No,,"26,494,504",26.494504,265,679.0842357,0.226462062,67.90842357,0.03,6 (0.03),28414066,22.663,2.08,1718477,11714816,6189428,5908852,2882431,58.699825,49.10167,9.598154,105.274086,69.5576,2.08,0.598,2953.5603,5810613,23021883,181.71957,57.91304,1.36347,3.8,36.43171,93,-0.051113624,0.44873866,89.9,0.5294187,1399830000,18.139744,52.61297,2270166,4422246,34.815575,9457060,25.13,901.76
2020,Nepal,530,0,,0,No,No,No,No,,"26,494,504",26.494504,265,20.00414878,0,2.000414878,0,0,28966582,23.451,2.051,1763578,12407619,6083339,5874331,2837653,56.652348,47.114834,9.537516,105.291626,69.2456,2.051,0.593,2832.8608,6038773,23309854,205.884,54.17089,1.36347,3.8,36.43171,84,-0.2029097,0.53964084,89.9,0.5294187,1811640000,22.372492,52.614048,2599701,3620493.2,49.88649,11064432,24.52,943.95
2021,Nepal,540,0,,0,No,No,No,No,,"29,164,578",29.164578,292,18.51561164,0,1.851561164,0,0,29475018,24.023,2.025,1801126,12949390,6070309,5840176,2813957,54.970684,45.500893,9.469792,104.762505,68.4495,2.025,0.591,2902.0503,6309750,23725239,205.884,54.17089,1.36347,3.8,36.43171,91,0.39243913,0.533454,89.9,0.5294187,1551930100,23.005156,53.431988,2599701,2809591,49.88649,11064432,24.62,1214.77
2022,Nepal,54784,88,"1,2,3",4,Yes,Yes,Yes,No,DENV3,"29,164,578",29.164578,292,1878.443089,3.017358935,187.8443089,0.16,88 (0.16),29715434,24.356,2.002,1841561,13218863,6056124,5792621,2806206,54.165474,44.611324,9.554149,104.64449,68.4495,2.002,0.601,3013.5178,6552761,23994819,205.884,54.17089,1.36347,3.8,36.43171,91,0.53464836,0.54143506,89.9,0.56134886,1197690000,20.652874,52.769306,2599701,2848192.8,49.88649,11064432,25.26,902.91
2023,Nepal,51243,20,,0,No,No,No,No,,"29,164,578",29.164578,292,1757.02868,0.685763394,175.702868,0.04,20 (0.04),29694614,24.679,1.984,1888691,13338838,5940623,5734326,2792075,54.021698,44.225307,9.796389,104.641495,68.4495,1.984,0.601,3013.5178,6552761,23994819,205.884,54.17089,1.36347,3.8,36.43171,91,0.5005951,0.56162405,89.9,0.56134886,1197690000,20.652874,52.769306,2599701,2848192.8,49.88649,11064432,25.26,902.91
2000,Pakistan,0,0,,0,No,No,No,No,,"132,352,000",132.352,"1,324",0,0,0,0,0,154879124,16.992,5.352,5387088,52424204,30034383,42327808,24705502,87.826385,81.293304,6.533083,107.40218,62.1018,5.352,0.434,3154.5115,50914288,103455636,73.85697,57.37959,0.03306,3.5,56.40357,59,0.1719029,0.67110085,72.816895,0.56134886,650430000,8.316971,19.54993,3406434,100625710,6.714715,2099367,20.12,68.55
2001,Pakistan,0,0,,0,No,No,No,No,,"132,352,000",132.352,"1,324",0,0,0,0,0,159270911,17.148,5.182,5554979,54090555,31273988,43286835,25064403,86.57719,80.069824,6.507361,107.424255,62.4214,5.182,0.441,3176.9468,52828442,106389285,71.94134,55.883255,0.03306,3.6,56.40357,61,0.3417882,0.6617698,73.86801,0.538796,2658900000,8.278736,19.589552,3406434,100288930,7.746248,4207979,20.1,105.47
2002,Pakistan,0,0,,0,No,No,No,No,,"132,352,000",132.352,"1,324",0,0,0,0,0,163222552,17.275,5.012,5720283,55563687,32405586,44159017,25373812,85.54477,79.042175,6.502592,107.38723,62.6264,5.012,0.447,3265.6865,54497125,108765682,75.84696,51.042397,0.03306,3.8,56.40357,63,0.58466977,0.6916949,74.91058,0.538796,2740190000,8.500246,19.629993,3406434,99261330,8.274512,8412517,19.92,73.83
2003,Pakistan,1000,17,,0,No,No,No,No,,"132,352,000",132.352,"1,324",7.555609284,0.128445358,0.755560928,1.7,17 (1.7),167110250,17.409,4.894,5890002,57055578,33548505,44959771,25656214,84.43989,77.93908,6.500813,107.209984,62.843,4.894,0.455,3437.992,56037189,110839491,69.35787,60.590004,0.03306,4,56.40357,66,-0.06915315,0.70289934,75.951614,0.538796,1261790100,8.889779,20.650005,3406434,97815976,8.735553,10519329,19.3,94.92
2004,Pakistan,542,18,,0,No,No,No,No,,"132,352,000",132.352,"1,324",4.095140232,0.136000967,0.409514023,3.32,18 (3.32),171285998,17.59,4.685,6071278,58788978,34808001,45752429,25865123,83.00356,76.516945,6.4866176,107.129074,63.0522,4.685,0.468,3664.5334,57646810,113001810,72.54816,60.96042,0.03306,4.2,56.40357,68,0.7069325,0.7577721,76.998116,0.55949366,1565710000,8.478181,21.711742,3406434,96313680,10.0685835,11041815,20.19,68.55
2005,Pakistan,3940,21,"1,2,3",3,Yes,Yes,Yes,No,,"132,352,000",132.352,"1,324",29.76910058,0.158667795,2.976910058,0.53,21 (0.53),175453212,17.787,4.595,6257265,60610816,36058194,46527410,25999332,81.49872,75.02585,6.472876,107.21126,62.4657,4.595,0.477,3883.9346,59255126,115116972,89.689255,66.01361,0.05025,4.4,56.40357,63,-0.49295405,0.7617108,78.05709,0.57078415,1774750000,7.917507,22.732744,3777830,94633710,13.451407,11574549,18.73,137.11
2006,Pakistan,1931,0,3,0,No,No,Yes,No,DENV3,"132,352,000",132.352,"1,324",14.58988153,0,1.458988153,0,0 (0),179682692,17.981,4.589,6451030,62521291,37246985,47243650,26219535,80.09982,73.63381,6.4660134,106.93955,63.7312,4.589,0.485,4062.6665,60871443,117198541,106.213104,72.946266,0.05025,4.7,56.40357,59,0.60470027,0.80170596,79.135315,0.57078415,2368440000,7.771583,23.823204,3777830,92791160,15.653339,12370868,19.84,195.12
2007,Pakistan,1220,0,3,0,No,No,Yes,No,DENV3,"132,352,000",132.352,"1,324",9.217843327,0,0.921784333,0,0 (0),184493230,18.199,4.554,6663917,64784062,38506142,47912101,26626799,78.61618,72.16454,6.451645,106.66441,63.8517,4.554,0.49,4160.365,62558385,119366136,110.1595,71.78801,0.05025,4.9,56.40357,54,0.1640516,0.85465235,80.23438,0.5479641,1238100000,8.204903,24.359137,3777830,90879600,18.195898,13015237,19.29,226.76
2008,Pakistan,2469,5,"1,2,3",3,Yes,Yes,Yes,No,DENV2,"132,352,000",132.352,"1,324",18.65479932,0.037778046,1.865479932,0.2,5 (0.2),189499114,18.412,4.515,6887981,67169011,39707914,48537766,27196226,77.30572,70.86094,6.4447784,106.54072,64.036,4.515,0.489,4224.405,64313863,121618092,107.61661,70.06161,0.05025,5.2,56.40357,53,-0.03493452,0.8187327,81.35067,0.5479641,1120320000,8.434859,25.16929,3777830,88888770,21.811852,14259242,19.45,174.02
2009,Pakistan,1085,2,"2,3,4",2,No,Yes,Yes,Yes,DENV2,"132,352,000",132.352,"1,324",8.197836074,0.015111219,0.819783607,0.18,2 (0.18),194376535,18.595,4.465,7117837,69479769,40758273,49095007,27925425,76.324165,69.86738,6.4567885,106.18452,64.14,4.465,0.493,4288.462,66149573,123973649,99.47856,67.96987,0.05025,5.4,56.40357,52,0.3029213,0.8001041,82.480354,0.5479641,1560780000,7.9457808,26.64919,3777830,86823790,25.330412,15556360,19.58,100.2
2010,Pakistan,11024,4,"1,2",2,Yes,Yes,No,No,DENV2,"132,352,000",132.352,"1,324",83.29303675,0.030222437,8.329303675,0.04,4 (0.04),199239047,18.765,4.398,7354273,71786493,41716471,49613265,28768312,75.536224,69.056854,6.4793663,105.81723,64.4361,4.398,0.496,4354.267,68053241,126401257,96.836914,67.87203,0.0792,5.7,56.40357,52,0.55145854,0.7739536,87.12273,0.5334293,3220190000,8.86299,28.011461,4790584,84654070,28.025219,15888219,19.89,179.3
2011,Pakistan,23601,357,"2,3",3,No,Yes,Yes,No,DENV2,"132,352,000",132.352,"1,324",178.3199347,2.697352515,17.83199347,1.51,357 (1.51),203746069,18.908,4.305,7588786,73930307,42489340,50185357,29552035,75.00983,68.491356,6.5184755,105.51752,64.6482,4.305,0.5,4464,69912136,128690602,88.80385,65.480446,0.0792,6,55.33722,63,0.13671446,0.75977474,87.83734,0.5341211,3729960000,8.163979,28.462368,4790584,82237850,30.541824,16378675,19.77,100.2
2012,Pakistan,800,0,,0,No,No,No,No,,"132,352,000",132.352,"1,324",6.044487427,0,0.604448743,0,0 (0),207667129,19.019,4.204,7809462,75816437,43027166,50848512,30165296,74.73963,68.16842,6.5712094,105.28163,64.7823,4.204,0.504,4538.3457,71597051,130608810,92.1801,61.299587,0.0792,6.3,56.29123,64,-0.4428874,0.7452712,88.5682,0.5341211,2054500000,8.973112,28.665127,4790584,79445570,31.858177,18480380,18.65,94.92
2013,Pakistan,11810,7,"2,3",2,No,Yes,Yes,No,DENV3,"132,352,000",132.352,"1,324",89.23174565,0.052889265,8.923174565,0.06,7 (0.06),211073979,19.103,4.125,7999323,77494808,43381195,51617829,30580556,74.620026,68.002235,6.6177926,105.1057,65.1495,4.125,0.51,4638.1616,73126866,132210696,103.32626,62.86692,0.0792,6.6,59.05498,65,0.03913021,0.7194035,89.33152,0.52684504,2233370000,9.936662,28.871147,4790584,76341400,34.548088,20825163,19.28,126.56
2014,Pakistan,1145,1,"1,2,3,4",2,Yes,Yes,Yes,Yes,DENV1,"132,352,000",132.352,"1,324",8.651172631,0.007555609,0.865117263,0.09,1 (0.09),214264649,19.176,4.055,8153230,79126991,43713135,52461152,30809862,74.42539,67.788124,6.6372695,104.98922,65.2842,4.055,0.519,4750.878,74593651,133657977,109.884674,65.61805,0.0792,7,56.2618,69,-0.27861643,0.7313629,90.138176,0.52684504,3642379800,8.87448,29.51891,4790584,73043630,34.848896,23206623,19.4,47.46
2015,Pakistan,6899,8,"1,2",2,Yes,Yes,No,No,,"132,352,000",132.352,"1,324",52.12614845,0.060444874,5.212614845,0.12,8 (0.12),217290885,19.244,3.988,8302221,80701889,44061907,53343595,30880983,74.161575,67.507225,6.654351,104.90669,65.6971,3.988,0.525,4889.915,76003799,134965499,114.34457,64.587296,0.09552,7.4,55.89503,72,0.014834563,0.69303304,90.97747,0.5404801,4138780000,10.945012,30.377935,5798210,69573770,38.468773,26446006,19.48,89.65
2016,Pakistan,7721,3,"1,2",2,Yes,Yes,No,No,,"132,352,000",132.352,"1,324",58.33685928,0.022666828,5.833685928,0.04,3 (0.04),220138862,19.312,3.902,8475961,82191804,44387435,54258419,30824940,73.913635,67.21747,6.69617,104.870766,65.8797,3.902,0.533,5030.8354,77368591,136156249,121.66461,62.302406,0.09552,7.8,53.65099,75,0.8891742,0.8087265,91.832306,0.5404801,3263770000,11.152891,29.291336,5798210,65955430,43.32456,29817115,20.64,84.38
2017,Pakistan,22934,1,"1,2,3",3,Yes,Yes,Yes,No,,"207,774,000",207.774,"2,078",110.379547,0.004812922,11.0379547,0,1 (0),223273975,19.4,3.9,8682511,83832679,44798535,55194995,30764939,73.57658,66.82665,6.7499256,104.849655,66.2972,3.9,0.534,5189.937,78853074,137526581,136.29803,58.022923,0.09552,7.8,51.97565,75,0.6567568,0.9779946,92.661026,0.5404801,2624480000,11.45081,28.233963,5798210,62332900,50.76795,33706811,19.8,105.47
2018,Pakistan,53498,3,"1,2,3",3,Yes,Yes,Yes,No,,"207,774,000",207.774,"2,078",257.4816868,0.014438765,25.74816868,0.01,3 (0.01),226928893,19.517,3.855,8924368,85726143,45369017,56133213,30775823,73.102165,66.29462,6.8075495,104.84153,66.482,3.855,0.535,5299.071,80566744,139164735,150.10187,56.431423,0.09552,7.8,56.50438,80,0.76549655,0.92693263,93.39749,0.5297809,1512480000,10.399489,27.205883,5798210,58733364,54.89236,38118177,20.18,89.65
2019,Pakistan,53498,95,1,3,Yes,No,No,No,DENV1,"207,774,000",207.774,"2,078",257.4816868,0.457227565,25.74816868,0.18,95 (0.18),230800909,19.652,3.81,9195863,87721416,45974324,57070577,30838385,72.6312,65.753,6.878202,104.84732,66.7558,3.81,0.537,5219.534,82410851,140882429,155.49756,56.28123,0.10347,7.8,50.13067,84,-0.048251152,0.8995735,93.9,0.5297809,2169320200,9.87295,29.454742,5798210,55056960,65.509094,56799184,18.69,290.04
2020,Pakistan,6016,0,,0,No,No,No,No,,"207,774,000",207.774,"2,078",28.95453714,0,2.895453714,0,0 (0),235001743,19.811,3.765,9453024,89907060,46670115,57993371,30977883,72.06496,65.14358,6.921379,104.83442,66.2695,3.765,0.536,5242.6953,84437669,142759072,158.06438,55.440964,0.10347,7.8,50.13067,77,-0.08666074,0.9819252,94.48528,0.5297809,2677110000,11.010473,29.707706,6328400,51323056,74.993065,56799184,16.81,1402.73
2021,Pakistan,52240,166,"1,2",2,Yes,Yes,No,No,,"207,774,000",207.774,"2,078",251.4270313,0.798945008,25.14270313,0.32,166 (0.32),239477805,19.986,3.72,9703867,92248498,47515877,58779170,31230199,71.34381,64.400795,6.943019,104.8243,66.0979,3.72,0.537,5463.7744,86636953,144765164,158.06438,55.440964,0.10347,7.8,50.13067,83,0.6807809,1.0351746,94.92286,0.5297809,2833590000,11.314495,30.408474,6328400,47505084,74.993065,56799184,19.7,357.71
2022,Pakistan,79007,51,"1,2",3,Yes,Yes,No,No,DENV2,"207,774,000",207.774,"2,078",380.2545073,0.245459008,38.02545073,0.06,51 (0.06),243700667,20.148,3.662,10020016,94429036,48327254,59399334,31524856,70.71086,63.6919,7.018966,104.837685,66.0979,3.662,0.54,5531.723,88979079,146845783,158.06438,55.440964,0.10347,7.8,50.13067,83,0.7671749,0.9184807,94.92286,0.5453535,1732370000,11.314495,30.123203,6328400,43572164,74.993065,56799184,18.88,618.57
2023,Pakistan,12589,10,1,3,Yes,No,No,No,DENV1,"207,774,000",207.774,"2,078",60.58987169,0.048129217,6.058987169,0.08,10 (0.08),247504504,20.287,3.605,10385763,96370065,49077602,59881456,31789414,70.16725,63.026703,7.1405497,104.85439,66.0979,3.605,0.54,5531.723,88979079,146845783,158.06438,55.440964,0.10347,7.8,50.13067,83,0.41301993,0.8107597,94.92286,0.5453535,1732370000,11.314495,30.123203,6328400,43572164,74.993065,56799184,18.88,618.57
